
Integration time [ms]:  12,325
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804342U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 291,31;   15,780;    6,468;    0,000; 9,31195
 291,48;    4,216;    2,515;    0,000; 1,70111
 291,65;    3,628;    6,382;    0,000;-2,75448
 291,82;    2,016;    0,639;    0,000; 1,37718
 291,99;    0,330;    5,648;    0,000;-5,31813
 292,16;    3,263;   -6,417;    0,000; 9,68065
 292,33;   -0,222;    0,392;    0,000;-0,61444
 292,50;    3,474;  -11,768;    0,000;15,24281
 292,66;    9,724;    3,941;    0,000; 5,78278
 292,83;   12,614;    3,409;    0,000; 9,20484
 293,00;    2,952;    1,338;    0,000; 1,61440
 293,17;   11,700;    4,748;    0,000; 6,95195
 293,34;    9,985;    6,500;    0,000; 3,48495
 293,51;    7,962;   -0,640;    0,000; 8,60233
 293,68;    2,424;    1,986;    0,000; 0,43884
 293,85;    0,107;   -4,574;    0,000; 4,68133
 294,01;   -1,395;    5,116;    0,000;-6,51112
 294,18;   -4,593;   -0,654;    0,000;-3,93867
 294,35;    7,378;   -2,645;    0,000;10,02360
 294,52;   12,201;    3,543;    0,000; 8,65812
 294,69;   13,011;   17,503;    0,000;-4,49177
 294,86;   11,975;    7,736;    0,000; 4,23888
 295,03;    5,074;    1,903;    0,000; 3,17064
 295,20;    3,380;    0,166;    0,000; 3,21385
 295,36;   15,193;    2,187;    0,000;13,00656
 295,53;    5,845;    1,750;    0,000; 4,09491
 295,70;    7,002;   -1,621;    0,000; 8,62234
 295,87;    3,813;    8,798;    0,000;-4,98546
 296,04;   14,239;    7,035;    0,000; 7,20375
 296,21;    0,168;   -2,942;    0,000; 3,10953
 296,38;   -0,425;    5,838;    0,000;-6,26301
 296,55;   -1,325;   -6,556;    0,000; 5,23104
 296,71;   20,587;   16,170;    0,000; 4,41736
 296,88;    6,544;    2,873;    0,000; 3,67075
 297,05;    5,185;    3,354;    0,000; 1,83094
 297,22;   -4,190;   -3,210;    0,000;-0,98001
 297,39;   10,891;    2,399;    0,000; 8,49216
 297,56;   -2,213;    3,257;    0,000;-5,47077
