
Integration time [ms]:  14,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804342U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 291,31;   -5,777;   -6,803;    0,000; 1,02578
 291,48;    6,297;   -2,086;    0,000; 8,38256
 291,65;  -10,185;    2,115;    0,000;-12,30032
 291,82;    2,067;   12,904;    0,000;-10,83724
 291,99;   12,256;   14,413;    0,000;-2,15741
 292,16;   -5,792;  -21,301;    0,000;15,50859
 292,33;   11,398;   10,507;    0,000; 0,89128
 292,50;   -7,967;   -9,181;    0,000; 1,21388
 292,66;   11,049;   -9,396;    0,000;20,44564
 292,83;   37,423;  -10,400;    0,000;47,82285
 293,00;    7,018;   -4,099;    0,000;11,11712
 293,17;   23,223;    0,697;    0,000;22,52578
 293,34;   16,074;   -2,400;    0,000;18,47428
 293,51;   16,445;  -16,872;    0,000;33,31655
 293,68;   -3,380;    2,518;    0,000;-5,89751
 293,85;   -7,001;   -5,686;    0,000;-1,31457
 294,01;    6,304;  -27,390;    0,000;33,69408
 294,18;    7,099;  -23,486;    0,000;30,58543
 294,35;  -12,724;    4,310;    0,000;-17,03450
 294,52;    6,845;   -8,789;    0,000;15,63406
 294,69;   13,996;   -9,489;    0,000;23,48549
 294,86;    4,804;  -14,090;    0,000;18,89408
 295,03;   -4,792;   13,223;    0,000;-18,01476
 295,20;   10,062;  -10,274;    0,000;20,33660
 295,36;   10,344;    6,021;    0,000; 4,32241
 295,53;   10,391;  -17,192;    0,000;27,58269
 295,70;    4,244;   -9,296;    0,000;13,53991
 295,87;   -5,647;   -1,883;    0,000;-3,76321
 296,04;   24,011;    3,602;    0,000;20,40853
 296,21;   19,811;   -3,091;    0,000;22,90267
 296,38;   -6,451;   -4,279;    0,000;-2,17186
 296,55;    3,429;   -6,994;    0,000;10,42273
 296,71;  -11,214;   16,512;    0,000;-27,72597
 296,88;   -0,841;    5,023;    0,000;-5,86333
 297,05;  -11,822;  -28,794;    0,000;16,97129
 297,22;   16,701;   10,924;    0,000; 5,77664
 297,39;   -9,774;    1,020;    0,000;-10,79471
 297,56;    2,842;   -4,575;    0,000; 7,41662
