
Integration time [ms]: 1270,000
Averaging Nr. [scans]: 2
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804342U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 291,31; 1311,349;   -6,803;    0,000;1318,15236
 291,48; 1342,464;   -2,086;    0,000;1344,55036
 291,65; 1136,538;    2,115;    0,000;1134,42325
 291,82; 1454,440;   12,904;    0,000;1441,53548
 291,99; 1471,961;   14,413;    0,000;1457,54850
 292,16; 1397,783;  -21,301;    0,000;1419,08412
 292,33; 1532,232;   10,507;    0,000;1521,72518
 292,50; 1161,192;   -9,181;    0,000;1170,37275
 292,66; 1447,366;   -9,396;    0,000;1456,76259
 292,83; 1676,929;  -10,400;    0,000;1687,32897
 293,00; 1526,574;   -4,099;    0,000;1530,67289
 293,17; 1671,849;    0,697;    0,000;1671,15236
 293,34; 1424,143;   -2,400;    0,000;1426,54299
 293,51; 1303,643;  -16,872;    0,000;1320,51474
 293,68; 1410,474;    2,518;    0,000;1407,95594
 293,85; 1306,392;   -5,686;    0,000;1312,07840
 294,01; 1203,168;  -27,390;    0,000;1230,55787
 294,18; 1082,392;  -23,486;    0,000;1105,87840
 294,35; 1175,383;    4,310;    0,000;1171,07282
 294,52; 1645,171;   -8,789;    0,000;1653,95973
 294,69; 1485,885;   -9,489;    0,000;1495,37375
 294,86; 1536,668;  -14,090;    0,000;1550,75787
 295,03; 1425,915;   13,223;    0,000;1412,69235
 295,20; 1367,637;  -10,274;    0,000;1377,91102
 295,36; 1391,483;    6,021;    0,000;1385,46152
 295,53; 1575,949;  -17,192;    0,000;1593,14106
 295,70; 1285,011;   -9,296;    0,000;1294,30651
 295,87; 1441,614;   -1,883;    0,000;1443,49707
 296,04; 1781,291;    3,602;    0,000;1777,68877
 296,21; 1397,951;   -3,091;    0,000;1401,04199
 296,38;  814,838;   -4,279;    0,000;819,11760
 296,55; 1212,445;   -6,994;    0,000;1219,43827
 296,71; 1403,674;   16,512;    0,000;1387,16159
 296,88; 1384,129;    5,023;    0,000;1379,10637
 297,05; 1309,731;  -28,794;    0,000;1338,52425
 297,22; 1055,632;   10,924;    0,000;1044,70824
 297,39; 1338,409;    1,020;    0,000;1337,38863
