
Integration time [ms]:   1,700
Averaging Nr. [scans]: 101
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804342U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 291,31;    3,530;    7,298;    0,000;-3,76771
 291,48;   -0,308;    3,206;    0,000;-3,51366
 291,65;    3,311;    7,255;    0,000;-3,94355
 291,82;    3,258;    3,257;    0,000; 0,00110
 291,99;   -1,173;    3,760;    0,000;-4,93323
 292,16;    3,771;    8,802;    0,000;-5,03148
 292,33;    4,791;    4,147;    0,000; 0,64416
 292,50;    0,815;   -0,746;    0,000; 1,56055
 292,66;    4,718;    6,059;    0,000;-1,34129
 292,83;   -3,210;    5,891;    0,000;-9,10104
 293,00;    3,095;   -3,208;    0,000; 6,30278
 293,17;    2,668;    8,723;    0,000;-6,05484
 293,34;   -3,182;    1,416;    0,000;-4,59804
 293,51;    1,164;   -1,173;    0,000; 2,33706
 293,68;   -3,941;   -2,944;    0,000;-0,99754
 293,85;   -0,837;   -0,072;    0,000;-0,76508
 294,01;   -2,510;    0,741;    0,000;-3,25142
 294,18;    5,371;    5,532;    0,000;-0,16112
 294,35;   10,519;   -1,200;    0,000;11,71880
 294,52;    3,572;   -0,348;    0,000; 3,92062
 294,69;    7,650;    6,186;    0,000; 1,46323
 294,86;   -0,223;   -1,447;    0,000; 1,22383
 295,03;   -2,008;    6,264;    0,000;-8,27181
 295,20;   -1,635;    1,610;    0,000;-3,24464
 295,36;    1,228;   -1,637;    0,000; 2,86511
 295,53;    2,694;    7,098;    0,000;-4,40357
 295,70;    0,864;    2,098;    0,000;-1,23449
 295,87;   -4,463;    7,175;    0,000;-11,63891
 296,04;   -2,359;    3,604;    0,000;-5,96277
 296,21;   -4,354;    1,028;    0,000;-5,38191
 296,38;   -4,611;   -2,013;    0,000;-2,59812
 296,55;   -6,786;    5,375;    0,000;-12,16163
 296,71;   10,962;   -0,091;    0,000;11,05306
 296,88;   -8,119;    4,432;    0,000;-12,55098
 297,05;   -0,200;    0,811;    0,000;-1,01117
 297,22;    2,478;   -7,776;    0,000;10,25472
 297,39;    5,787;    0,452;    0,000; 5,33461
 297,56;    5,957;    1,768;    0,000; 4,18914
