
Integration time [ms]:  90,000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804341U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

317,765;   74,650;    0,000;    0,000
317,784;   33,550;    0,000;    0,000
317,804;  -16,100;    0,000;    0,000
317,823;   39,050;    0,000;    0,000
317,842;   28,950;    0,000;    0,000
317,861;    3,200;    0,000;    0,000
317,881;    8,500;    0,000;    0,000
317,900;  -22,800;    0,000;    0,000
317,919;   20,350;    0,000;    0,000
317,939;   40,200;    0,000;    0,000
317,958;    2,500;    0,000;    0,000
317,977;   30,850;    0,000;    0,000
317,997;    3,300;    0,000;    0,000
318,016;   36,150;    0,000;    0,000
318,035;  -30,850;    0,000;    0,000
318,054;  -13,650;    0,000;    0,000
318,074;   55,600;    0,000;    0,000
318,093;   48,300;    0,000;    0,000
318,112;   73,350;    0,000;    0,000
318,132;   -1,300;    0,000;    0,000
318,151;   36,750;    0,000;    0,000
318,170;  -20,550;    0,000;    0,000
318,189;   29,550;    0,000;    0,000
318,209;   26,650;    0,000;    0,000
318,228;   13,600;    0,000;    0,000
318,247;  -27,550;    0,000;    0,000
318,266;   57,300;    0,000;    0,000
318,286;   28,950;    0,000;    0,000
318,305;  -27,750;    0,000;    0,000
318,324;  -36,600;    0,000;    0,000
318,343;   12,250;    0,000;    0,000
318,363;    0,350;    0,000;    0,000
318,382;   -4,900;    0,000;    0,000
318,401;   27,050;    0,000;    0,000
318,420;  -10,500;    0,000;    0,000
318,440;   31,200;    0,000;    0,000
318,459;   45,500;    0,000;    0,000
318,478;  -22,200;    0,000;    0,000
318,497;   13,350;    0,000;    0,000
318,516;  125,600;    0,000;    0,000
318,536;   68,800;    0,000;    0,000
318,555;  -12,150;    0,000;    0,000
318,574;   21,750;    0,000;    0,000
318,593;   59,350;    0,000;    0,000
318,613;   56,850;    0,000;    0,000
318,632;   -7,650;    0,000;    0,000
318,651;   19,350;    0,000;    0,000
318,670;  -26,450;    0,000;    0,000
318,689;   59,650;    0,000;    0,000
318,709;   -8,700;    0,000;    0,000
318,728;   31,100;    0,000;    0,000
318,747;   28,050;    0,000;    0,000
318,766;   59,500;    0,000;    0,000
318,785;   35,350;    0,000;    0,000
318,805;    4,100;    0,000;    0,000
318,824;    8,550;    0,000;    0,000
318,843;   84,350;    0,000;    0,000
318,862;   44,750;    0,000;    0,000
318,881;   -6,150;    0,000;    0,000
