
Integration time [ms]: 120,000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804341U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

317,765;   96,400;    0,000;    0,000
317,784;   41,200;    0,000;    0,000
317,804;  -17,900;    0,000;    0,000
317,823;   37,000;    0,000;    0,000
317,842;   67,200;    0,000;    0,000
317,861;  -26,650;    0,000;    0,000
317,881;    9,650;    0,000;    0,000
317,900;  -34,550;    0,000;    0,000
317,919;    2,400;    0,000;    0,000
317,939;   65,050;    0,000;    0,000
317,958;  -13,650;    0,000;    0,000
317,977;   51,850;    0,000;    0,000
317,997;    1,850;    0,000;    0,000
318,016;   44,300;    0,000;    0,000
318,035;  -35,650;    0,000;    0,000
318,054;  -14,700;    0,000;    0,000
318,074;   70,850;    0,000;    0,000
318,093;   49,200;    0,000;    0,000
318,112;   80,050;    0,000;    0,000
318,132;    8,250;    0,000;    0,000
318,151;   30,700;    0,000;    0,000
318,170;  -36,650;    0,000;    0,000
318,189;   18,900;    0,000;    0,000
318,209;    6,800;    0,000;    0,000
318,228;  -13,400;    0,000;    0,000
318,247;  -31,000;    0,000;    0,000
318,266;   59,050;    0,000;    0,000
318,286;   34,650;    0,000;    0,000
318,305;  -28,800;    0,000;    0,000
318,324;  -50,650;    0,000;    0,000
318,343;   15,800;    0,000;    0,000
318,363;   -6,400;    0,000;    0,000
318,382;  -13,850;    0,000;    0,000
318,401;   17,950;    0,000;    0,000
318,420;   -4,350;    0,000;    0,000
318,440;   39,450;    0,000;    0,000
318,459;   47,850;    0,000;    0,000
318,478;  -35,550;    0,000;    0,000
318,497;   -6,500;    0,000;    0,000
318,516;  177,450;    0,000;    0,000
318,536;   91,600;    0,000;    0,000
318,555;    4,400;    0,000;    0,000
318,574;    7,950;    0,000;    0,000
318,593;   69,600;    0,000;    0,000
318,613;   57,100;    0,000;    0,000
318,632;    1,500;    0,000;    0,000
318,651;   22,700;    0,000;    0,000
318,670;   -5,800;    0,000;    0,000
318,689;   67,400;    0,000;    0,000
318,709;  -25,950;    0,000;    0,000
318,728;   22,350;    0,000;    0,000
318,747;   32,800;    0,000;    0,000
318,766;   98,000;    0,000;    0,000
318,785;   36,000;    0,000;    0,000
318,805;    6,450;    0,000;    0,000
318,824;   23,350;    0,000;    0,000
318,843;   89,200;    0,000;    0,000
318,862;   59,000;    0,000;    0,000
318,881;   -0,250;    0,000;    0,000
318,900;   41,200;    0,000;    0,000
318,920;   -7,600;    0,000;    0,000
318,939;   46,600;    0,000;    0,000
318,958;   13,400;    0,000;    0,000
318,977;   46,100;    0,000;    0,000
318,996;   29,550;    0,000;    0,000
319,016;    1,400;    0,000;    0,000
319,035;   28,550;    0,000;    0,000
319,054;  -38,750;    0,000;    0,000
319,073;   -5,350;    0,000;    0,000
319,092;    1,100;    0,000;    0,000
319,111;  -41,350;    0,000;    0,000
319,130;   39,150;    0,000;    0,000
319,150;  -17,900;    0,000;    0,000
319,169;   18,400;    0,000;    0,000
319,188;  -13,800;    0,000;    0,000
319,207;  103,950;    0,000;    0,000
319,226;   75,600;    0,000;    0,000
319,245;   89,850;    0,000;    0,000
319,264;   -2,050;    0,000;    0,000
319,284;    3,750;    0,000;    0,000
319,303;    9,350;    0,000;    0,000
319,322;   51,300;    0,000;    0,000
319,341;   64,650;    0,000;    0,000
319,360;   43,250;    0,000;    0,000
319,379;   26,850;    0,000;    0,000
319,398;   58,600;    0,000;    0,000
319,417;  -38,300;    0,000;    0,000
319,437;   11,200;    0,000;    0,000
319,456;   81,900;    0,000;    0,000
319,475;   59,500;    0,000;    0,000
319,494;    0,300;    0,000;    0,000
319,513;   28,950;    0,000;    0,000
319,532;  -22,050;    0,000;    0,000
319,551;   46,300;    0,000;    0,000
319,570;   19,250;    0,000;    0,000
319,589;   -7,650;    0,000;    0,000
319,608;   99,700;    0,000;    0,000
319,627;    1,150;    0,000;    0,000
319,647;   75,350;    0,000;    0,000
319,666;    7,250;    0,000;    0,000
319,685;   26,750;    0,000;    0,000
319,704;   14,950;    0,000;    0,000
319,723;   14,050;    0,000;    0,000
319,742;   -6,250;    0,000;    0,000
319,761;    9,350;    0,000;    0,000
319,780;   67,000;    0,000;    0,000
319,799;   26,000;    0,000;    0,000
319,818;   91,150;    0,000;    0,000
319,837;   39,400;    0,000;    0,000
319,856;   72,950;    0,000;    0,000
319,875;   40,950;    0,000;    0,000
319,894;  134,100;    0,000;    0,000
319,914;  -17,450;    0,000;    0,000
319,933;   77,150;    0,000;    0,000
319,952;  -34,000;    0,000;    0,000
319,971;   42,000;    0,000;    0,000
319,990;   66,350;    0,000;    0,000
320,009;   31,400;    0,000;    0,000
320,028;   49,350;    0,000;    0,000
320,047;   43,300;    0,000;    0,000
320,066;  112,550;    0,000;    0,000
320,085;  121,750;    0,000;    0,000
320,104;   49,150;    0,000;    0,000
320,123;   17,200;    0,000;    0,000
320,142;   71,450;    0,000;    0,000
320,161;   14,100;    0,000;    0,000
320,180;   34,650;    0,000;    0,000
320,199;   -2,650;    0,000;    0,000
320,218;   13,400;    0,000;    0,000
320,237;   99,700;    0,000;    0,000
320,256;   86,150;    0,000;    0,000
320,275;   20,450;    0,000;    0,000
320,294;   21,250;    0,000;    0,000
320,313;   33,300;    0,000;    0,000
320,332;   47,850;    0,000;    0,000
320,351;   26,100;    0,000;    0,000
320,370;   92,550;    0,000;    0,000
320,389;   77,050;    0,000;    0,000
320,408;   -9,950;    0,000;    0,000
320,427;  110,400;    0,000;    0,000
320,446;   33,400;    0,000;    0,000
320,465;   98,850;    0,000;    0,000
320,484;   29,500;    0,000;    0,000
320,503;   11,300;    0,000;    0,000
320,522;   83,400;    0,000;    0,000
320,541;  183,850;    0,000;    0,000
320,560;  146,250;    0,000;    0,000
320,579;  195,250;    0,000;    0,000
320,598;   95,600;    0,000;    0,000
320,617;   70,900;    0,000;    0,000
320,636;   38,650;    0,000;    0,000
320,655;   -4,050;    0,000;    0,000
320,674;    7,950;    0,000;    0,000
320,693;   29,950;    0,000;    0,000
320,712;   67,900;    0,000;    0,000
320,730;    8,950;    0,000;    0,000
320,749;   28,350;    0,000;    0,000
320,768;   21,350;    0,000;    0,000
320,787;   -2,500;    0,000;    0,000
320,806;   36,000;    0,000;    0,000
320,825;   28,300;    0,000;    0,000
320,844;  110,950;    0,000;    0,000
320,863;   17,400;    0,000;    0,000
320,882;   30,800;    0,000;    0,000
320,901;  -14,350;    0,000;    0,000
320,920;  107,900;    0,000;    0,000
320,939;   -4,300;    0,000;    0,000
320,958;  -30,950;    0,000;    0,000
320,977;   75,300;    0,000;    0,000
320,996;   34,350;    0,000;    0,000
321,014;   32,100;    0,000;    0,000
321,033;  -72,750;    0,000;    0,000
321,052;   40,850;    0,000;    0,000
321,071;  -16,350;    0,000;    0,000
321,090;   44,100;    0,000;    0,000
321,109;  -14,700;    0,000;    0,000
321,128;   -3,200;    0,000;    0,000
321,147;   37,900;    0,000;    0,000
321,166;   50,750;    0,000;    0,000
321,185;  -11,150;    0,000;    0,000
321,203;  -52,000;    0,000;    0,000
321,222;   77,450;    0,000;    0,000
321,241;    1,500;    0,000;    0,000
321,260;   32,450;    0,000;    0,000
321,279;   22,850;    0,000;    0,000
321,298;   38,300;    0,000;    0,000
321,317;    8,550;    0,000;    0,000
321,336;   41,200;    0,000;    0,000
321,354;   15,150;    0,000;    0,000
321,373;   41,600;    0,000;    0,000
321,392;   14,550;    0,000;    0,000
321,411;  -23,150;    0,000;    0,000
321,430;   27,300;    0,000;    0,000
321,449;    3,950;    0,000;    0,000
321,468;   55,150;    0,000;    0,000
321,486;   39,550;    0,000;    0,000
321,505;   -6,400;    0,000;    0,000
321,524;  118,450;    0,000;    0,000
321,543;   -6,100;    0,000;    0,000
321,562;   30,000;    0,000;    0,000
321,581;   17,700;    0,000;    0,000
321,600;   71,850;    0,000;    0,000
321,618;   -8,850;    0,000;    0,000
321,637;   40,600;    0,000;    0,000
321,656;   -2,600;    0,000;    0,000
321,675;   28,250;    0,000;    0,000
321,694;   57,850;    0,000;    0,000
321,712;   -8,000;    0,000;    0,000
321,731;   32,950;    0,000;    0,000
321,750;   64,450;    0,000;    0,000
321,769;   35,900;    0,000;    0,000
321,788;    5,050;    0,000;    0,000
321,807;   46,700;    0,000;    0,000
321,825;   23,000;    0,000;    0,000
321,844;    9,650;    0,000;    0,000
321,863;   50,800;    0,000;    0,000
321,882;   35,750;    0,000;    0,000
321,901;   97,950;    0,000;    0,000
321,919;   72,200;    0,000;    0,000
321,938;  -22,300;    0,000;    0,000
321,957;   31,400;    0,000;    0,000
321,976;   71,000;    0,000;    0,000
321,995;   60,500;    0,000;    0,000
322,013;  -10,450;    0,000;    0,000
322,032;   49,900;    0,000;    0,000
322,051;   20,400;    0,000;    0,000
322,070;    3,200;    0,000;    0,000
322,088;  -35,200;    0,000;    0,000
322,107;   97,300;    0,000;    0,000
322,126;   56,200;    0,000;    0,000
322,145;  -22,550;    0,000;    0,000
322,164;  -14,700;    0,000;    0,000
322,182;   44,950;    0,000;    0,000
322,201;   80,900;    0,000;    0,000
322,220;   39,100;    0,000;    0,000
322,239;   -5,600;    0,000;    0,000
322,257;   31,550;    0,000;    0,000
322,276;   -0,100;    0,000;    0,000
322,295;   21,800;    0,000;    0,000
322,314;   47,800;    0,000;    0,000
322,332;  140,450;    0,000;    0,000
322,351;   63,550;    0,000;    0,000
322,370;   58,000;    0,000;    0,000
322,389;    4,600;    0,000;    0,000
322,407;   23,750;    0,000;    0,000
322,426;    7,850;    0,000;    0,000
322,445;  -27,050;    0,000;    0,000
322,463;  -29,500;    0,000;    0,000
322,482;   60,100;    0,000;    0,000
322,501;   72,500;    0,000;    0,000
322,520;   59,850;    0,000;    0,000
322,538;   61,300;    0,000;    0,000
322,557;   89,900;    0,000;    0,000
322,576;   87,800;    0,000;    0,000
322,594;  -27,800;    0,000;    0,000
322,613;   61,950;    0,000;    0,000
322,632;   67,050;    0,000;    0,000
322,651;   86,050;    0,000;    0,000
322,669;   17,000;    0,000;    0,000
322,688;  163,800;    0,000;    0,000
322,707;   58,950;    0,000;    0,000
322,725;   35,750;    0,000;    0,000
322,744;  115,600;    0,000;    0,000
322,763;   26,850;    0,000;    0,000
322,781;   89,150;    0,000;    0,000
322,800;   87,250;    0,000;    0,000
322,819;   72,050;    0,000;    0,000
322,838;   83,650;    0,000;    0,000
322,856;   87,600;    0,000;    0,000
322,875;   52,950;    0,000;    0,000
322,894;  -14,300;    0,000;    0,000
322,912;   -0,750;    0,000;    0,000
322,931;   64,600;    0,000;    0,000
322,950;  150,500;    0,000;    0,000
322,968;   64,150;    0,000;    0,000
322,987;   27,650;    0,000;    0,000
323,006;   32,950;    0,000;    0,000
323,024;   80,350;    0,000;    0,000
323,043;   77,600;    0,000;    0,000
323,061;  108,450;    0,000;    0,000
323,080;  102,700;    0,000;    0,000
323,099;   50,950;    0,000;    0,000
323,117;   93,450;    0,000;    0,000
323,136;   82,850;    0,000;    0,000
323,155;   34,150;    0,000;    0,000
323,173;   78,500;    0,000;    0,000
323,192;   59,750;    0,000;    0,000
323,211;    5,650;    0,000;    0,000
323,229;   39,150;    0,000;    0,000
323,248;   44,200;    0,000;    0,000
323,266;  140,500;    0,000;    0,000
323,285;   32,000;    0,000;    0,000
323,304;  133,300;    0,000;    0,000
323,322;   84,950;    0,000;    0,000
323,341;   59,200;    0,000;    0,000
323,360;  111,600;    0,000;    0,000
323,378;  110,250;    0,000;    0,000
323,397;  138,950;    0,000;    0,000
323,415;   74,000;    0,000;    0,000
323,434;  127,700;    0,000;    0,000
323,453;  108,400;    0,000;    0,000
323,471;  161,900;    0,000;    0,000
323,490;  123,800;    0,000;    0,000
323,508;  129,650;    0,000;    0,000
323,527;  111,550;    0,000;    0,000
323,546;   97,150;    0,000;    0,000
323,564;   59,550;    0,000;    0,000
323,583;   44,750;    0,000;    0,000
323,601;  137,950;    0,000;    0,000
323,620;  130,300;    0,000;    0,000
323,638;  134,700;    0,000;    0,000
323,657;   97,150;    0,000;    0,000
323,676;  141,900;    0,000;    0,000
323,694;  125,650;    0,000;    0,000
323,713;  106,650;    0,000;    0,000
323,731;  100,250;    0,000;    0,000
323,750;  114,450;    0,000;    0,000
323,768;  163,900;    0,000;    0,000
323,787;  122,650;    0,000;    0,000
323,805;  203,150;    0,000;    0,000
323,824;  213,550;    0,000;    0,000
323,843;  229,850;    0,000;    0,000
323,861;  233,800;    0,000;    0,000
323,880;  109,600;    0,000;    0,000
323,898;  103,850;    0,000;    0,000
323,917;  191,650;    0,000;    0,000
323,935;  149,400;    0,000;    0,000
323,954;  151,350;    0,000;    0,000
323,972;  147,550;    0,000;    0,000
323,991;  180,900;    0,000;    0,000
324,009;  188,650;    0,000;    0,000
324,028;  234,350;    0,000;    0,000
324,046;  181,700;    0,000;    0,000
324,065;  226,100;    0,000;    0,000
324,083;  205,550;    0,000;    0,000
324,102;  156,650;    0,000;    0,000
324,121;  220,250;    0,000;    0,000
324,139;  332,950;    0,000;    0,000
324,158;  333,250;    0,000;    0,000
324,176;  279,350;    0,000;    0,000
324,195;  419,750;    0,000;    0,000
324,213;  387,900;    0,000;    0,000
324,232;  338,900;    0,000;    0,000
324,250;  401,700;    0,000;    0,000
324,269;  318,700;    0,000;    0,000
324,287;  317,150;    0,000;    0,000
324,306;  264,150;    0,000;    0,000
324,324;  341,350;    0,000;    0,000
324,342;  357,550;    0,000;    0,000
324,361;  274,300;    0,000;    0,000
324,379;  247,050;    0,000;    0,000
324,398;  329,900;    0,000;    0,000
324,416;  253,850;    0,000;    0,000
324,435;  353,500;    0,000;    0,000
324,453;  339,550;    0,000;    0,000
324,472;  465,350;    0,000;    0,000
324,490;  476,050;    0,000;    0,000
324,509;  484,750;    0,000;    0,000
324,527;  438,800;    0,000;    0,000
324,546;  495,200;    0,000;    0,000
324,564;  533,150;    0,000;    0,000
324,583;  687,000;    0,000;    0,000
324,601;  577,350;    0,000;    0,000
324,619;  660,550;    0,000;    0,000
324,638;  679,200;    0,000;    0,000
324,656;  708,650;    0,000;    0,000
324,675;  776,550;    0,000;    0,000
324,693;  975,350;    0,000;    0,000
324,712;  904,400;    0,000;    0,000
324,730;  704,850;    0,000;    0,000
324,748;  643,450;    0,000;    0,000
324,767;  719,150;    0,000;    0,000
324,785;  713,750;    0,000;    0,000
324,804;  855,850;    0,000;    0,000
324,822;  860,500;    0,000;    0,000
324,841;  938,350;    0,000;    0,000
324,859; 1098,400;    0,000;    0,000
324,877; 1271,200;    0,000;    0,000
324,896; 1106,800;    0,000;    0,000
324,914; 1009,800;    0,000;    0,000
324,933; 1276,800;    0,000;    0,000
324,951; 1222,350;    0,000;    0,000
324,969; 1118,750;    0,000;    0,000
324,988; 1252,800;    0,000;    0,000
325,006; 1169,600;    0,000;    0,000
325,025; 1091,600;    0,000;    0,000
325,043; 1087,050;    0,000;    0,000
325,061; 1330,000;    0,000;    0,000
325,080; 1512,550;    0,000;    0,000
325,098; 1795,350;    0,000;    0,000
325,117; 2580,100;    0,000;    0,000
325,135; 4357,200;    0,000;    0,000
325,153; 6736,850;    0,000;    0,000
325,172; 8083,150;    0,000;    0,000
325,190; 5921,650;    0,000;    0,000
325,208; 2870,000;    0,000;    0,000
325,227; 1642,200;    0,000;    0,000
325,245; 1142,400;    0,000;    0,000
325,264; 1088,000;    0,000;    0,000
325,282;  918,600;    0,000;    0,000
325,300;  806,100;    0,000;    0,000
325,319;  671,700;    0,000;    0,000
325,337;  626,250;    0,000;    0,000
325,355;  628,250;    0,000;    0,000
325,374;  625,300;    0,000;    0,000
325,392;  559,700;    0,000;    0,000
325,410;  614,500;    0,000;    0,000
325,429;  530,850;    0,000;    0,000
325,447;  635,000;    0,000;    0,000
325,465;  549,300;    0,000;    0,000
325,484;  542,900;    0,000;    0,000
325,502;  668,100;    0,000;    0,000
325,520;  585,950;    0,000;    0,000
325,539;  532,250;    0,000;    0,000
325,557;  532,650;    0,000;    0,000
325,575;  637,050;    0,000;    0,000
325,594;  682,000;    0,000;    0,000
325,612;  732,350;    0,000;    0,000
325,630;  652,900;    0,000;    0,000
325,649;  709,650;    0,000;    0,000
325,667;  901,350;    0,000;    0,000
325,685;  851,600;    0,000;    0,000
325,703;  788,250;    0,000;    0,000
325,722;  912,900;    0,000;    0,000
325,740; 1057,000;    0,000;    0,000
325,758; 1228,950;    0,000;    0,000
325,777; 1623,150;    0,000;    0,000
325,795; 2401,550;    0,000;    0,000
325,813; 4183,100;    0,000;    0,000
325,831; 7290,750;    0,000;    0,000
325,850;11976,250;    0,000;    0,000
325,868;20250,400;    0,000;    0,000
325,886;32435,300;    0,000;    0,000
325,905;50350,600;    0,000;    0,000
325,923;64107,300;    0,000;    0,000
325,941;64616,850;    0,000;    0,000
325,959;64607,800;    0,000;    0,000
325,978;64616,850;    0,000;    0,000
325,996;64607,800;    0,000;    0,000
326,014;64616,850;    0,000;    0,000
326,032;64607,800;    0,000;    0,000
326,051;64616,850;    0,000;    0,000
326,069;64607,800;    0,000;    0,000
326,087;64616,850;    0,000;    0,000
326,105;64607,800;    0,000;    0,000
326,124;64616,850;    0,000;    0,000
326,142;64607,800;    0,000;    0,000
326,160;64616,850;    0,000;    0,000
326,178;64607,800;    0,000;    0,000
326,197;64616,850;    0,000;    0,000
326,215;64607,800;    0,000;    0,000
326,233;64616,850;    0,000;    0,000
326,251;64607,800;    0,000;    0,000
326,270;64616,850;    0,000;    0,000
326,288;64607,800;    0,000;    0,000
326,306;64616,850;    0,000;    0,000
326,324;64607,800;    0,000;    0,000
326,342;64616,850;    0,000;    0,000
326,361; 5158,750;    0,000;    0,000
326,379; 3657,800;    0,000;    0,000
326,397; 1839,800;    0,000;    0,000
326,415; 1842,400;    0,000;    0,000
326,434; 1649,350;    0,000;    0,000
326,452; 1598,850;    0,000;    0,000
326,470; 1434,900;    0,000;    0,000
326,488; 1474,600;    0,000;    0,000
326,506; 1379,450;    0,000;    0,000
326,525; 1243,000;    0,000;    0,000
326,543; 1182,100;    0,000;    0,000
326,561; 1210,550;    0,000;    0,000
326,579; 1298,600;    0,000;    0,000
326,597; 1196,300;    0,000;    0,000
326,615; 1084,550;    0,000;    0,000
326,634; 1004,100;    0,000;    0,000
326,652;  934,350;    0,000;    0,000
326,670;  916,300;    0,000;    0,000
326,688;  893,050;    0,000;    0,000
326,706;  998,200;    0,000;    0,000
326,724; 1025,900;    0,000;    0,000
326,743; 1161,150;    0,000;    0,000
326,761; 1120,350;    0,000;    0,000
326,779;  998,350;    0,000;    0,000
326,797; 1038,800;    0,000;    0,000
326,815; 1013,850;    0,000;    0,000
326,833;  908,300;    0,000;    0,000
326,852;  994,050;    0,000;    0,000
326,870; 1037,950;    0,000;    0,000
326,888; 1162,750;    0,000;    0,000
326,906; 1199,750;    0,000;    0,000
326,924; 1127,200;    0,000;    0,000
326,942; 1174,550;    0,000;    0,000
326,960; 1245,700;    0,000;    0,000
326,979; 1180,250;    0,000;    0,000
326,997;  975,300;    0,000;    0,000
327,015;  811,750;    0,000;    0,000
327,033;  781,700;    0,000;    0,000
327,051;  829,800;    0,000;    0,000
327,069;  812,250;    0,000;    0,000
327,087; 1015,700;    0,000;    0,000
327,105; 1101,550;    0,000;    0,000
327,123; 1009,350;    0,000;    0,000
327,142;  949,600;    0,000;    0,000
327,160;  966,500;    0,000;    0,000
327,178; 1049,150;    0,000;    0,000
327,196; 1224,900;    0,000;    0,000
327,214; 1634,300;    0,000;    0,000
327,232; 1672,200;    0,000;    0,000
327,250; 1389,250;    0,000;    0,000
327,268; 1141,350;    0,000;    0,000
327,286;  883,550;    0,000;    0,000
327,304;  670,650;    0,000;    0,000
327,323;  647,250;    0,000;    0,000
327,341;  827,750;    0,000;    0,000
327,359;  901,150;    0,000;    0,000
327,377;  600,600;    0,000;    0,000
327,395;  604,950;    0,000;    0,000
327,413;  480,200;    0,000;    0,000
327,431;  617,050;    0,000;    0,000
327,449;  623,450;    0,000;    0,000
327,467;  666,800;    0,000;    0,000
327,485;  742,950;    0,000;    0,000
327,503;  648,550;    0,000;    0,000
327,521;  487,550;    0,000;    0,000
327,539;  487,000;    0,000;    0,000
327,557;  481,200;    0,000;    0,000
327,575;  476,100;    0,000;    0,000
327,593;  409,950;    0,000;    0,000
327,612;  291,200;    0,000;    0,000
327,630;  354,700;    0,000;    0,000
327,648;  288,550;    0,000;    0,000
327,666;  222,200;    0,000;    0,000
327,684;  262,850;    0,000;    0,000
327,702;  247,850;    0,000;    0,000
327,720;  243,300;    0,000;    0,000
327,738;  285,550;    0,000;    0,000
327,756;  238,500;    0,000;    0,000
327,774;  253,700;    0,000;    0,000
327,792;  307,400;    0,000;    0,000
327,810;  262,300;    0,000;    0,000
327,828;  254,050;    0,000;    0,000
327,846;  257,850;    0,000;    0,000
327,864;  267,700;    0,000;    0,000
327,882;  261,950;    0,000;    0,000
327,900;  234,600;    0,000;    0,000
327,918;  316,500;    0,000;    0,000
327,936;  216,550;    0,000;    0,000
327,954;  269,600;    0,000;    0,000
327,972;  249,450;    0,000;    0,000
327,990;  126,800;    0,000;    0,000
328,008;  184,700;    0,000;    0,000
328,026;  141,550;    0,000;    0,000
328,044;  121,200;    0,000;    0,000
328,062;  148,050;    0,000;    0,000
328,080;  141,450;    0,000;    0,000
328,098;  164,350;    0,000;    0,000
328,116;  182,200;    0,000;    0,000
328,134;  123,950;    0,000;    0,000
328,152;   66,350;    0,000;    0,000
328,170;   51,450;    0,000;    0,000
328,188;   74,050;    0,000;    0,000
328,206;  164,550;    0,000;    0,000
328,224;  168,850;    0,000;    0,000
328,242;   86,600;    0,000;    0,000
328,260;   79,200;    0,000;    0,000
328,277;  149,050;    0,000;    0,000
328,295;  129,650;    0,000;    0,000
328,313;   71,050;    0,000;    0,000
328,331;  138,100;    0,000;    0,000
328,349;   12,250;    0,000;    0,000
328,367;   80,050;    0,000;    0,000
328,385;   62,800;    0,000;    0,000
328,403;  134,600;    0,000;    0,000
328,421;   55,950;    0,000;    0,000
328,439;   49,200;    0,000;    0,000
328,457;   88,900;    0,000;    0,000
328,475;   87,800;    0,000;    0,000
328,493;   94,500;    0,000;    0,000
328,511;   55,950;    0,000;    0,000
328,529;   67,750;    0,000;    0,000
328,546;   77,500;    0,000;    0,000
328,564;   84,200;    0,000;    0,000
328,582;   47,700;    0,000;    0,000
328,600;   51,450;    0,000;    0,000
328,618;  100,300;    0,000;    0,000
328,636;   89,500;    0,000;    0,000
328,654;   85,650;    0,000;    0,000
328,672;   57,350;    0,000;    0,000
328,690;   44,350;    0,000;    0,000
328,708;   97,100;    0,000;    0,000
328,725;   70,550;    0,000;    0,000
328,743;   82,250;    0,000;    0,000
328,761;  103,400;    0,000;    0,000
328,779;  113,550;    0,000;    0,000
328,797;   85,950;    0,000;    0,000
328,815;   74,850;    0,000;    0,000
328,833;   45,700;    0,000;    0,000
328,851;   97,250;    0,000;    0,000
328,869;  101,750;    0,000;    0,000
328,886;   48,550;    0,000;    0,000
328,904;   22,950;    0,000;    0,000
328,922;   92,100;    0,000;    0,000
328,940;   50,600;    0,000;    0,000
328,958;   39,400;    0,000;    0,000
328,976;   94,850;    0,000;    0,000
328,994;  113,300;    0,000;    0,000
329,011;   94,600;    0,000;    0,000
329,029;   53,650;    0,000;    0,000
329,047;   79,500;    0,000;    0,000
329,065;   56,000;    0,000;    0,000
329,083;   54,950;    0,000;    0,000
329,101;   67,100;    0,000;    0,000
329,118;   59,700;    0,000;    0,000
329,136;   97,950;    0,000;    0,000
329,154;   18,800;    0,000;    0,000
329,172;   64,050;    0,000;    0,000
329,190;   19,100;    0,000;    0,000
329,208;   34,500;    0,000;    0,000
329,225;  167,150;    0,000;    0,000
329,243;    4,750;    0,000;    0,000
329,261;   62,700;    0,000;    0,000
329,279;   35,100;    0,000;    0,000
329,297;   69,200;    0,000;    0,000
329,315;   54,700;    0,000;    0,000
329,332;   85,050;    0,000;    0,000
329,350;   51,000;    0,000;    0,000
329,368;   52,950;    0,000;    0,000
329,386;   36,150;    0,000;    0,000
329,404;   55,900;    0,000;    0,000
329,421;   50,750;    0,000;    0,000
329,439;   51,500;    0,000;    0,000
329,457;   38,250;    0,000;    0,000
329,475;   17,500;    0,000;    0,000
329,492;   70,350;    0,000;    0,000
329,510;  -12,300;    0,000;    0,000
329,528;  120,950;    0,000;    0,000
329,546;  154,400;    0,000;    0,000
329,564;  -13,900;    0,000;    0,000
329,581;   46,450;    0,000;    0,000
329,599;   72,650;    0,000;    0,000
