
Integration time [ms]:  14,000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804341U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

317,765;   19,700;    0,000;    0,000
317,784;    4,500;    0,000;    0,000
317,804;   10,450;    0,000;    0,000
317,823;   -8,900;    0,000;    0,000
317,842;   -3,900;    0,000;    0,000
317,861;   -1,200;    0,000;    0,000
317,881;   -5,500;    0,000;    0,000
317,900;   -4,550;    0,000;    0,000
317,919;  -13,800;    0,000;    0,000
317,939;    7,950;    0,000;    0,000
317,958;   -2,950;    0,000;    0,000
317,977;   -6,450;    0,000;    0,000
317,997;    2,000;    0,000;    0,000
318,016;   -0,700;    0,000;    0,000
318,035;   -1,250;    0,000;    0,000
318,054;    8,700;    0,000;    0,000
318,074;   11,550;    0,000;    0,000
318,093;    4,950;    0,000;    0,000
318,112;    9,750;    0,000;    0,000
318,132;    8,750;    0,000;    0,000
318,151;   16,300;    0,000;    0,000
318,170;  -22,150;    0,000;    0,000
318,189;   20,650;    0,000;    0,000
318,209;   -9,150;    0,000;    0,000
318,228;  -10,850;    0,000;    0,000
318,247;   -1,950;    0,000;    0,000
318,266;    1,150;    0,000;    0,000
318,286;   -4,800;    0,000;    0,000
318,305;  -17,850;    0,000;    0,000
318,324;  -11,700;    0,000;    0,000
318,343;    5,750;    0,000;    0,000
318,363;    3,500;    0,000;    0,000
318,382;    8,750;    0,000;    0,000
318,401;   17,700;    0,000;    0,000
318,420;    7,700;    0,000;    0,000
318,440;    6,800;    0,000;    0,000
318,459;   -9,450;    0,000;    0,000
318,478;  -11,650;    0,000;    0,000
318,497;    2,700;    0,000;    0,000
318,516;    8,050;    0,000;    0,000
318,536;    1,300;    0,000;    0,000
318,555;   -7,350;    0,000;    0,000
318,574;    1,400;    0,000;    0,000
318,593;   -2,350;    0,000;    0,000
318,613;   24,550;    0,000;    0,000
318,632;    4,200;    0,000;    0,000
318,651;    0,250;    0,000;    0,000
318,670;  -11,150;    0,000;    0,000
318,689;    6,650;    0,000;    0,000
318,709;    8,400;    0,000;    0,000
318,728;   -2,350;    0,000;    0,000
318,747;   21,500;    0,000;    0,000
318,766;    6,600;    0,000;    0,000
318,785;    4,000;    0,000;    0,000
318,805;   -5,000;    0,000;    0,000
318,824;    7,700;    0,000;    0,000
318,843;    3,150;    0,000;    0,000
318,862;    4,000;    0,000;    0,000
318,881;    0,400;    0,000;    0,000
318,900;   -6,000;    0,000;    0,000
318,920;   -6,350;    0,000;    0,000
318,939;    7,950;    0,000;    0,000
318,958;   -5,800;    0,000;    0,000
318,977;    7,700;    0,000;    0,000
318,996;   -7,700;    0,000;    0,000
319,016;   -3,900;    0,000;    0,000
319,035;  -10,450;    0,000;    0,000
319,054;   -2,950;    0,000;    0,000
319,073;   -0,450;    0,000;    0,000
319,092;  -11,450;    0,000;    0,000
319,111;   -8,500;    0,000;    0,000
319,130;   16,500;    0,000;    0,000
319,150;   -4,650;    0,000;    0,000
319,169;    5,800;    0,000;    0,000
319,188;   -9,250;    0,000;    0,000
319,207;    2,900;    0,000;    0,000
319,226;   13,650;    0,000;    0,000
319,245;   13,650;    0,000;    0,000
319,264;    3,700;    0,000;    0,000
319,284;    9,350;    0,000;    0,000
319,303;    9,750;    0,000;    0,000
319,322;    9,400;    0,000;    0,000
319,341;    9,500;    0,000;    0,000
319,360;   -0,400;    0,000;    0,000
319,379;   -3,550;    0,000;    0,000
319,398;    0,600;    0,000;    0,000
319,417;   -7,400;    0,000;    0,000
319,437;   -1,650;    0,000;    0,000
319,456;    4,700;    0,000;    0,000
319,475;   -4,400;    0,000;    0,000
319,494;  -10,100;    0,000;    0,000
319,513;    9,750;    0,000;    0,000
319,532;    8,500;    0,000;    0,000
319,551;   -1,700;    0,000;    0,000
319,570;    7,350;    0,000;    0,000
319,589;    7,050;    0,000;    0,000
319,608;   23,800;    0,000;    0,000
319,627;   -8,000;    0,000;    0,000
319,647;    7,500;    0,000;    0,000
319,666;   -3,350;    0,000;    0,000
319,685;    3,150;    0,000;    0,000
319,704;    7,850;    0,000;    0,000
319,723;   15,650;    0,000;    0,000
319,742;   13,850;    0,000;    0,000
319,761;    5,400;    0,000;    0,000
319,780;    6,200;    0,000;    0,000
319,799;   14,700;    0,000;    0,000
319,818;   18,350;    0,000;    0,000
319,837;    0,750;    0,000;    0,000
319,856;   -8,850;    0,000;    0,000
319,875;   11,150;    0,000;    0,000
319,894;   21,450;    0,000;    0,000
319,914;  -16,600;    0,000;    0,000
319,933;   -4,000;    0,000;    0,000
319,952;  -14,050;    0,000;    0,000
319,971;   29,450;    0,000;    0,000
319,990;   -2,250;    0,000;    0,000
320,009;   11,700;    0,000;    0,000
320,028;    4,050;    0,000;    0,000
320,047;    6,100;    0,000;    0,000
320,066;   -2,400;    0,000;    0,000
320,085;    5,400;    0,000;    0,000
320,104;   -3,900;    0,000;    0,000
320,123;   -3,400;    0,000;    0,000
320,142;    5,650;    0,000;    0,000
320,161;   -2,250;    0,000;    0,000
320,180;   18,800;    0,000;    0,000
320,199;   -4,400;    0,000;    0,000
320,218;    6,700;    0,000;    0,000
320,237;   28,400;    0,000;    0,000
320,256;   10,500;    0,000;    0,000
320,275;  -12,100;    0,000;    0,000
320,294;   13,050;    0,000;    0,000
320,313;   -0,350;    0,000;    0,000
320,332;    6,400;    0,000;    0,000
320,351;   16,000;    0,000;    0,000
320,370;   19,750;    0,000;    0,000
320,389;    1,000;    0,000;    0,000
320,408;    1,100;    0,000;    0,000
320,427;   11,800;    0,000;    0,000
320,446;   -9,950;    0,000;    0,000
320,465;    7,100;    0,000;    0,000
320,484;    7,150;    0,000;    0,000
320,503;    4,200;    0,000;    0,000
320,522;   -6,650;    0,000;    0,000
320,541;   29,350;    0,000;    0,000
320,560;    5,000;    0,000;    0,000
320,579;   10,800;    0,000;    0,000
320,598;    6,750;    0,000;    0,000
320,617;   11,300;    0,000;    0,000
320,636;   16,300;    0,000;    0,000
320,655;   -0,550;    0,000;    0,000
320,674;    5,050;    0,000;    0,000
320,693;   -9,750;    0,000;    0,000
320,712;   17,800;    0,000;    0,000
320,730;  -20,400;    0,000;    0,000
320,749;    7,850;    0,000;    0,000
320,768;    1,300;    0,000;    0,000
320,787;    2,450;    0,000;    0,000
320,806;    0,550;    0,000;    0,000
320,825;   13,650;    0,000;    0,000
320,844;   21,300;    0,000;    0,000
320,863;   -7,500;    0,000;    0,000
320,882;    0,550;    0,000;    0,000
320,901;    4,500;    0,000;    0,000
320,920;    9,300;    0,000;    0,000
320,939;   -6,300;    0,000;    0,000
320,958;   -5,850;    0,000;    0,000
320,977;    0,050;    0,000;    0,000
320,996;  -11,500;    0,000;    0,000
321,014;    7,850;    0,000;    0,000
321,033;   -1,550;    0,000;    0,000
321,052;    1,950;    0,000;    0,000
321,071;    4,350;    0,000;    0,000
321,090;    6,500;    0,000;    0,000
321,109;   10,500;    0,000;    0,000
321,128;   -5,200;    0,000;    0,000
321,147;    2,400;    0,000;    0,000
321,166;   -8,350;    0,000;    0,000
321,185;   -0,850;    0,000;    0,000
321,203;   -3,300;    0,000;    0,000
321,222;   -1,550;    0,000;    0,000
321,241;    8,200;    0,000;    0,000
321,260;    1,800;    0,000;    0,000
321,279;    0,700;    0,000;    0,000
321,298;   10,250;    0,000;    0,000
321,317;  -10,450;    0,000;    0,000
321,336;    9,650;    0,000;    0,000
321,354;    4,900;    0,000;    0,000
321,373;    3,000;    0,000;    0,000
321,392;   -0,700;    0,000;    0,000
321,411;  -11,150;    0,000;    0,000
321,430;  -12,350;    0,000;    0,000
321,449;   14,550;    0,000;    0,000
321,468;   16,000;    0,000;    0,000
321,486;    0,550;    0,000;    0,000
321,505;   12,000;    0,000;    0,000
321,524;    6,400;    0,000;    0,000
321,543;    6,600;    0,000;    0,000
321,562;   -1,850;    0,000;    0,000
321,581;   -3,500;    0,000;    0,000
321,600;   11,100;    0,000;    0,000
321,618;    0,950;    0,000;    0,000
321,637;   -3,250;    0,000;    0,000
321,656;   -1,200;    0,000;    0,000
321,675;   -0,450;    0,000;    0,000
321,694;    2,300;    0,000;    0,000
321,712;  -12,500;    0,000;    0,000
321,731;   -2,000;    0,000;    0,000
321,750;    6,800;    0,000;    0,000
321,769;    3,400;    0,000;    0,000
321,788;    6,100;    0,000;    0,000
321,807;   -4,400;    0,000;    0,000
321,825;  -14,900;    0,000;    0,000
321,844;    9,900;    0,000;    0,000
321,863;   25,100;    0,000;    0,000
321,882;    9,900;    0,000;    0,000
321,901;    1,350;    0,000;    0,000
321,919;   10,600;    0,000;    0,000
321,938;   -0,950;    0,000;    0,000
321,957;    8,700;    0,000;    0,000
321,976;   -1,400;    0,000;    0,000
321,995;   -1,050;    0,000;    0,000
322,013;  -10,250;    0,000;    0,000
322,032;    0,850;    0,000;    0,000
322,051;   14,200;    0,000;    0,000
322,070;   -3,750;    0,000;    0,000
322,088;   15,750;    0,000;    0,000
322,107;   12,000;    0,000;    0,000
322,126;   12,050;    0,000;    0,000
322,145;    1,000;    0,000;    0,000
322,164;    4,350;    0,000;    0,000
322,182;   -9,850;    0,000;    0,000
322,201;   12,950;    0,000;    0,000
322,220;   -6,550;    0,000;    0,000
322,239;    2,250;    0,000;    0,000
322,257;   11,650;    0,000;    0,000
322,276;    3,650;    0,000;    0,000
322,295;   10,250;    0,000;    0,000
322,314;    7,700;    0,000;    0,000
322,332;   -9,550;    0,000;    0,000
322,351;   -1,800;    0,000;    0,000
322,370;   11,500;    0,000;    0,000
322,389;   -3,850;    0,000;    0,000
322,407;    0,750;    0,000;    0,000
322,426;   -1,800;    0,000;    0,000
322,445;  -11,600;    0,000;    0,000
322,463;    2,700;    0,000;    0,000
322,482;    3,050;    0,000;    0,000
