
Integration time [ms]:   3,000
Averaging Nr. [scans]: 300
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804342U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 291,31;    5,291;   -1,004;    0,000; 6,29542
 291,48;   -0,824;    3,378;    0,000;-4,20157
 291,65;   -0,264;   -0,933;    0,000; 0,66868
 291,82;    3,728;    7,679;    0,000;-3,95098
 291,99;    0,231;    0,613;    0,000;-0,38233
 292,16;    0,295;   -1,205;    0,000; 1,49959
 292,33;    0,646;   -2,756;    0,000; 3,40255
 292,50;   -0,199;   -5,388;    0,000; 5,18901
 292,66;    4,802;   -2,561;    0,000; 7,36211
 292,83;    6,839;    4,140;    0,000; 2,69885
 293,00;    1,440;    0,745;    0,000; 0,69524
 293,17;    3,141;    8,646;    0,000;-5,50458
 293,34;    3,305;    1,600;    0,000; 1,70517
 293,51;    5,419;    2,055;    0,000; 3,36319
 293,68;    0,423;    0,312;    0,000; 0,11072
 293,85;    0,765;    2,838;    0,000;-2,07226
 294,01;    4,130;    1,958;    0,000; 2,17126
 294,18;    0,352;    1,143;    0,000;-0,79059
 294,35;   -1,448;   -0,232;    0,000;-1,21621
 294,52;    1,342;    5,963;    0,000;-4,62131
 294,69;    2,932;   -1,227;    0,000; 4,15834
 294,86;    2,310;    0,918;    0,000; 1,39126
 295,03;    0,890;    6,646;    0,000;-5,75572
 295,20;    4,967;    2,346;    0,000; 2,62167
 295,36;    2,399;    2,646;    0,000;-0,24700
 295,53;    0,688;   -0,116;    0,000; 0,80463
 295,70;    1,699;    0,034;    0,000; 1,66516
 295,87;    0,752;   -0,458;    0,000; 1,21013
 296,04;    1,469;    4,755;    0,000;-3,28601
 296,21;    2,024;   -1,191;    0,000; 3,21584
 296,38;   -0,962;   -1,748;    0,000; 0,78661
 296,55;    2,210;    1,804;    0,000; 0,40599
 296,71;    3,051;   -0,792;    0,000; 3,84278
 296,88;    5,167;    1,681;    0,000; 3,48560
 297,05;    0,437;   -3,401;    0,000; 3,83800
 297,22;    2,096;    1,621;    0,000; 0,47469
 297,39;    4,603;   -0,853;    0,000; 5,45609
 297,56;    5,495;   -1,774;    0,000; 7,26879
